District Name,Town Name,Population,Median Household Income,Equalized Net Grand List Per Capita,2018-19,2019-20,2020-21,2021-22,2022-23,2018-2023,2020-2023,% change 18-23,% change 20-23
Regional School District 07,,0,"$94,582.25",200504.38,41.6,42.2,42.4,34.3,36.6,decreased,decreased,-13.66%,-15.85%
Regional School District 08,,0,"$113,013.67",133945.96,45,47,45,48,49,increased,increased,8.16%,8.16%
Regional School District 09,,0,"$151,401.50",250456.8,20.5,20.5,19,18,16,decreased,decreased,-28.13%,-18.75%
Regional School District 10,,0,"$120,217.50",153612.82,75,77.5,78,67,69.3,decreased,decreased,-8.23%,-12.55%
Regional School District 11,,0,"$82,611.33",132844.79,10,15,10,13.6,9,decreased,decreased,-11.11%,-11.11%
Regional School District 12,,0,"$113,787.67",406983.79,48.1,46.8,43,37.9,39,decreased,decreased,-23.33%,-10.26%
Regional School District 13,,0,"$104,838.50",152068.54,69.9,57.8,57.8,57.3,58.1,decreased,increased,-20.31%,0.52%
Regional School District 14,,0,"$96,543.50",170542.66,38.5,43,44,52,60,increased,increased,35.83%,26.67%
Regional School District 15,,0,"$111,304.00",180142.89,147.6,152.4,154.8,152.8,172.8,increased,increased,14.58%,10.42%
Regional School District 16,,0,"$95,254.00",134923.26,70.9,63.2,75.9,77.6,82.9,increased,increased,14.48%,8.44%
Regional School District 17,,0,"$105,767.50",173567.67,76.5,77,74.5,79,81.2,increased,increased,5.79%,8.25%
Regional School District 18,,0,"$106,042.00",306428.92,63.2,69.1,73.1,74.2,70.7,increased,decreased,10.61%,-3.39%
Regional School District 19,,0,"$67,700.50",91277.25,36,33,37,31,29,decreased,decreased,-24.14%,-27.59%
Ridgefield School District,Ridgefield,25009,"$152,630.00",283384.23,121.1,104.1,104.1,103,112,decreased,increased,-8.13%,7.05%
Rocky Hill School District,Rocky Hill,20780,"$85,123.00",160624.23,81.5,87.4,89.5,94.2,98,increased,increased,16.84%,8.67%
Salem School District,Salem,4214,"$104,725.00",141750.95,19.4,21.4,19.6,18.6,15.6,decreased,decreased,-24.36%,-25.64%
Salisbury School District,Salisbury,4191,"$72,632.00",451631.7,10,12.5,12.4,15.6,14.7,increased,increased,31.97%,15.65%
Scotland School District,Scotland,1576,"$88,077.00",107262.03,11,11,12,12,9,decreased,decreased,-22.22%,-33.33%
Seymour School District,Seymour,16707,"$80,396.00",117333.37,67,68.4,53.9,64.3,56,decreased,increased,-19.64%,3.75%
Sharon School District,Sharon,2675,"$97,560.00",410901.64,7.6,7.6,7.9,7.5,7.5,decreased,decreased,-1.33%,-5.33%
Shelton School District,Shelton,40756,"$98,873.00",179601.97,144.2,149.8,132,121,102,decreased,decreased,-41.37%,-29.41%
